journey_pk,start_iso,end_iso,duration_min,distance_km,temp_c,condition,wind_kph,is_daylight
495,2026-03-31T00:44:34.002477,2026-03-31T00:59:14.000327,14.7,5.448,17.5,mostlyCloudy,12.9,0
497,2026-03-31T01:01:33.999860,2026-03-31T01:18:41.321008,17.1,4.780,17.4,partlyCloudy,13.2,0
499,2026-03-31T01:24:45.000318,2026-03-31T01:38:51.999653,14.1,6.100,,,,
500,2026-03-31T01:53:00.900072,2026-03-31T02:01:20.998511,8.3,1.839,17.1,partlyCloudy,15.2,0
503,2026-03-31T03:45:36.181215,2026-03-31T03:51:35.998835,6.0,1.100,,,,
505,2026-03-31T03:55:58.605302,2026-03-31T13:00:43.057757,544.7,8.162,,,,
507,2026-03-31T13:38:05.999332,2026-03-31T13:43:16.999812,5.2,1.744,,,,
511,2026-03-31T13:51:04.004905,2026-03-31T13:55:45.999482,4.7,0.963,,,,
515,2026-03-31T14:12:29.785502,2026-03-31T14:22:32.999687,10.1,3.535,,,,
519,2026-03-31T14:29:50.750987,2026-03-31T14:45:49.999895,16.0,5.917,19.7,cloudy,22.5,1
521,2026-03-31T16:35:05.998569,2026-03-31T16:36:35.999194,1.5,0.207,21.7,cloudy,23.2,1
523,2026-03-31T16:37:13.204407,2026-03-31T17:04:12.999999,27.0,7.261,,,,
525,2026-03-31T17:55:49.624840,2026-03-31T18:08:22.000923,12.5,3.864,23.2,windy,24.7,1
527,2026-03-31T18:42:17.143553,2026-03-31T18:51:25.999891,9.1,4.748,24.0,windy,25.8,1
528,2026-03-31T19:03:36.994531,2026-03-31T19:27:29.000336,23.9,8.253,24.2,windy,26.1,1
530,2026-03-31T19:29:35.578962,2026-03-31T19:47:30.999472,17.9,2.614,,,,
532,2026-03-31T22:16:11.999802,2026-03-31T22:48:15.999417,32.1,9.852,24.6,cloudy,23.6,1
533,2026-03-31T22:48:16.127413,2026-03-31T23:52:19.020983,64.0,19.517,23.6,cloudy,18.8,1
534,2026-03-31T23:52:31.173484,2026-03-31T23:58:05.999826,5.6,1.871,23.0,mostlyCloudy,17.5,0
536,2026-04-01T00:01:15.366045,2026-04-01T00:06:02.000027,4.8,2.469,,,,
539,2026-04-01T00:11:50.946358,2026-04-01T00:13:30.999679,1.7,0.339,,,,
542,2026-04-01T00:40:08.000286,2026-04-01T00:57:04.000529,16.9,4.171,,,,
545,2026-04-01T02:01:17.344624,2026-04-01T02:06:40.999717,5.4,2.095,,,,
547,2026-04-01T02:09:37.549239,2026-04-01T02:49:47.999314,40.2,1.434,,,,
551,2026-04-01T02:53:15.000217,2026-04-01T02:57:27.000018,4.2,2.275,,,,
553,2026-04-01T03:02:26.840705,2026-04-01T03:19:06.999162,16.7,6.460,,,,
555,2026-04-01T03:27:52.776539,2026-04-01T03:40:47.000397,12.9,7.216,20.4,rain,15.5,0
557,2026-04-01T03:47:22.550231,2026-04-01T04:04:32.000441,17.2,6.829,20.1,thunderstorms,15.0,0
560,2026-04-01T04:25:01.999439,2026-04-01T04:44:12.999308,19.2,5.538,19.7,drizzle,16.2,0
563,2026-04-01T17:03:23.902072,2026-04-01T17:32:23.999269,29.0,8.698,,,,
565,2026-04-01T17:43:59.371869,2026-04-01T18:30:11.999094,46.2,13.635,,,,
567,2026-04-01T19:56:19.998612,2026-04-01T20:27:46.999411,31.5,11.125,17.1,cloudy,10.0,1
569,2026-04-01T20:29:18.800859,2026-04-01T20:32:36.999637,3.3,0.584,,,,
572,2026-04-01T21:43:30.379626,2026-04-01T22:12:47.999610,29.3,6.295,,,,
574,2026-04-02T02:01:54.283654,2026-04-02T02:08:28.997740,6.6,3.358,13.0,cloudy,8.1,0
577,2026-04-02T03:56:05.245611,2026-04-02T04:17:39.001034,21.6,6.802,12.2,cloudy,8.9,0
579,2026-04-02T14:21:05.738424,2026-04-02T14:40:22.999665,19.3,6.408,15.3,cloudy,6.1,1
581,2026-04-02T14:40:34.999628,2026-04-02T15:01:15.999156,20.7,6.621,16.5,partlyCloudy,7.0,1
585,2026-04-02T15:01:58.999821,2026-04-02T15:05:17.999120,3.3,0.606,,,,
587,2026-04-02T15:09:45.047486,2026-04-02T15:13:15.999043,3.5,0.676,,,,
589,2026-04-02T15:14:06.051492,2026-04-02T15:34:31.999580,20.4,6.531,18.1,partlyCloudy,7.1,1
593,2026-04-02T15:52:05.999408,2026-04-02T16:10:26.999528,18.4,8.314,19.4,mostlyCloudy,8.6,1
595,2026-04-02T16:24:57.282555,2026-04-02T16:52:04.000356,27.1,15.872,20.7,cloudy,11.2,1
595,2026-04-02T16:24:57.282555,2026-04-02T16:52:04.000356,27.1,15.872,21.4,mostlyCloudy,11.9,1
597,2026-04-02T17:02:40.785062,2026-04-02T17:31:08.278020,28.5,10.298,22.6,partlyCloudy,12.9,1
600,2026-04-02T17:37:49.999557,2026-04-02T17:45:52.000460,8.0,2.224,,,,
602,2026-04-02T18:14:38.636221,2026-04-02T18:25:28.000416,10.8,2.887,24.3,cloudy,14.6,1
604,2026-04-02T19:01:54.547771,2026-04-02T21:20:37.999712,138.7,58.484,24.9,cloudy,15.5,1
604,2026-04-02T19:01:54.547771,2026-04-02T21:20:37.999712,138.7,58.484,25.5,cloudy,14.7,1
604,2026-04-02T19:01:54.547771,2026-04-02T21:20:37.999712,138.7,58.484,26.4,cloudy,14.3,1
604,2026-04-02T19:01:54.547771,2026-04-02T21:20:37.999712,138.7,58.484,25.3,cloudy,14.4,1
604,2026-04-02T19:01:54.547771,2026-04-02T21:20:37.999712,138.7,58.484,25.0,cloudy,14.4,1
606,2026-04-02T21:20:53.716107,2026-04-03T01:40:25.000583,259.5,2.233,24.9,cloudy,12.5,1
606,2026-04-02T21:20:53.716107,2026-04-03T01:40:25.000583,259.5,2.233,19.7,cloudy,12.7,0
608,2026-04-03T03:03:58.998720,2026-04-03T03:12:34.000229,8.6,1.774,18.6,cloudy,15.2,0
610,2026-04-03T03:14:40.096319,2026-04-03T03:24:21.999265,9.7,0.776,,,,
611,2026-04-03T05:44:26.999806,2026-04-03T05:54:09.000414,9.7,5.111,18.1,cloudy,16.9,0
613,2026-04-03T05:54:10.000409,2026-04-03T06:38:42.999143,44.5,18.351,,,,
615,2026-04-03T14:24:45.884867,2026-04-03T21:58:01.881285,453.3,12.011,20.7,cloudy,19.1,1
616,2026-04-04T00:08:37.999293,2026-04-04T00:15:46.001025,7.1,2.099,21.7,partlyCloudy,10.3,0
618,2026-04-04T00:35:04.056067,2026-04-04T00:47:19.999717,12.3,4.803,,,,
620,2026-04-04T00:49:00.314604,2026-04-04T15:26:25.084194,877.4,11.967,17.8,rain,3.9,0
620,2026-04-04T00:49:00.314604,2026-04-04T15:26:25.084194,877.4,11.967,17.7,rain,6.2,0
620,2026-04-04T00:49:00.314604,2026-04-04T15:26:25.084194,877.4,11.967,22.8,cloudy,13.3,1
622,2026-04-04T15:26:32.000463,2026-04-04T15:35:18.000466,8.8,4.239,,,,
624,2026-04-04T15:39:40.619796,2026-04-04T15:44:56.000123,5.3,2.493,,,,
626,2026-04-04T15:58:17.839523,2026-04-04T16:00:59.000571,2.7,0.536,,,,
628,2026-04-04T16:16:07.085942,2026-04-04T16:37:12.999931,21.1,8.197,,,,
630,2026-04-04T16:42:25.506057,2026-04-04T16:44:02.000130,1.6,0.657,,,,
631,2026-04-04T17:17:44.841373,2026-04-04T17:27:50.999638,10.1,1.978,,,,
635,2026-04-04T17:37:21.000161,2026-04-04T17:48:09.999718,10.8,3.991,,,,
637,2026-04-04T20:02:06.919252,2026-04-04T20:14:14.000210,12.1,2.883,,,,
639,2026-04-04T20:14:26.215717,2026-04-04T20:36:49.000092,22.4,2.369,,,,
640,2026-04-04T20:36:50.000091,2026-04-04T20:43:34.000033,6.7,1.371,,,,
646,2026-04-04T20:46:19.999684,2026-04-04T20:56:19.999666,10.0,4.131,,,,
648,2026-04-04T21:07:15.267933,2026-04-04T21:15:36.000400,8.3,3.113,,,,
650,2026-04-04T21:16:17.000081,2026-04-04T21:51:47.000462,35.5,5.902,28.3,cloudy,20.2,1
652,2026-04-04T21:52:27.140695,2026-04-04T22:14:33.999683,22.1,2.754,28.1,cloudy,19.8,1
654,2026-04-04T22:15:11.434293,2026-04-04T22:25:33.999445,10.4,2.353,,,,
657,2026-04-04T22:56:08.702479,2026-04-04T22:59:54.999193,3.8,0.763,,,,
660,2026-04-04T23:24:36.999872,2026-04-04T23:41:04.000337,16.5,9.992,,,,
662,2026-04-05T01:39:15.000904,2026-04-05T01:45:42.000357,6.4,2.148,,,,
664,2026-04-05T02:06:51.012392,2026-04-05T02:10:06.998212,3.3,1.012,22.6,mostlyCloudy,14.5,0
666,2026-04-05T02:10:28.997087,2026-04-05T02:25:37.000402,15.1,2.878,,,,
670,2026-04-05T02:26:35.917821,2026-04-05T02:38:27.000517,11.9,3.584,22.4,mostlyCloudy,16.2,0
672,2026-04-05T02:53:52.000068,2026-04-05T02:58:45.999463,4.9,1.979,,,,
674,2026-04-05T02:58:45.999463,2026-04-05T03:04:27.999551,5.7,1.489,,,,
676,2026-04-05T04:27:14.553244,2026-04-05T04:30:46.998710,3.5,0.555,19.2,cloudy,16.8,0
678,2026-04-05T04:32:10.275296,2026-04-05T04:36:46.000846,4.6,1.530,,,,
679,2026-04-05T05:07:35.376378,2026-04-05T05:11:05.999112,3.5,1.486,19.1,rain,16.9,0
681,2026-04-05T05:11:07.999096,2026-04-05T07:16:17.999724,125.2,30.242,18.5,rain,19.0,0
681,2026-04-05T05:11:07.999096,2026-04-05T07:16:17.999724,125.2,30.242,16.4,rain,20.2,0
683,2026-04-05T19:34:44.226325,2026-04-05T19:45:45.000786,11.0,2.082,,,,
684,2026-04-05T19:45:47.000756,2026-04-05T19:58:19.874700,12.5,2.771,,,,
686,2026-04-05T20:07:31.894758,2026-04-05T20:11:33.999720,4.0,0.738,,,,
688,2026-04-05T20:29:34.000527,2026-04-05T20:33:32.874542,4.0,0.809,,,,
692,2026-04-05T20:36:43.590643,2026-04-05T20:49:00.000168,12.3,4.446,,,,
694,2026-04-05T20:49:14.000102,2026-04-05T21:11:31.000561,22.3,4.399,,,,
696,2026-04-05T21:12:12.855342,2026-04-05T21:26:48.062192,14.6,2.239,,,,
698,2026-04-05T21:47:29.074989,2026-04-05T21:56:09.999651,8.7,4.207,8.3,cloudy,21.0,1
700,2026-04-05T21:56:25.999561,2026-04-05T22:12:38.999994,16.2,3.852,,,,
702,2026-04-05T23:31:47.000185,2026-04-05T23:43:00.000210,11.2,3.073,,,,
704,2026-04-05T23:43:25.158109,2026-04-05T23:50:00.999166,6.6,0.621,,,,
709,2026-04-06T00:20:30.998103,2026-04-06T00:26:28.999025,6.0,1.953,,,,
711,2026-04-06T01:40:50.999740,2026-04-06T01:45:44.999653,4.9,1.126,,,,
713,2026-04-06T01:46:30.348957,2026-04-06T02:29:48.346695,43.3,2.598,4.6,mostlyCloudy,16.1,0
715,2026-04-06T02:29:56.215585,2026-04-06T02:35:15.999220,5.3,1.763,,,,
718,2026-04-06T03:22:49.282960,2026-04-06T03:27:32.999315,4.7,1.048,,,,
720,2026-04-06T05:26:42.999686,2026-04-06T05:32:09.998988,5.4,2.854,,,,
723,2026-04-06T06:12:47.999777,2026-04-06T06:20:13.999334,7.4,2.202,,,,
725,2026-04-06T06:57:01.725601,2026-04-06T07:05:27.000827,8.4,4.544,3.3,mostlyClear,10.0,0
729,2026-04-06T07:37:30.620108,2026-04-06T07:47:03.999783,9.6,6.580,,,,
731,2026-04-06T15:28:24.892022,2026-04-06T15:41:33.000640,13.1,3.431,7.8,cloudy,15.6,1
733,2026-04-06T16:21:51.006557,2026-04-07T20:10:05.769124,1668.2,6.438,8.7,cloudy,17.7,1
735,2026-04-07T20:12:08.875030,2026-04-08T01:51:43.999730,339.6,3.829,6.1,clear,15.2,1
735,2026-04-07T20:12:08.875030,2026-04-08T01:51:43.999730,339.6,3.829,2.0,clear,8.7,0
735,2026-04-07T20:12:08.875030,2026-04-08T01:51:43.999730,339.6,3.829,1.1,clear,7.5,0
737,2026-04-08T02:00:45.127090,2026-04-08T02:02:39.999292,1.9,0.711,,,,
739,2026-04-08T02:04:37.890734,2026-04-08T02:38:23.414325,33.8,1.392,0.4,clear,6.2,0
740,2026-04-08T02:38:24.003191,2026-04-08T06:43:20.885306,244.9,0.585,,,,
741,2026-04-08T06:43:31.000149,2026-04-08T07:14:50.999100,31.3,20.887,-2.0,clear,6.1,0
741,2026-04-08T06:43:31.000149,2026-04-08T07:14:50.999100,31.3,20.887,-1.9,clear,6.1,0
743,2026-04-08T13:45:43.999701,2026-04-08T13:56:29.999482,10.8,1.708,,,,
750,2026-04-08T14:02:47.004007,2026-04-08T14:20:27.999466,17.7,2.731,4.3,clear,9.1,1
751,2026-04-08T14:20:29.999460,2026-04-08T14:48:34.999400,28.1,25.130,5.6,clear,10.0,1
753,2026-04-08T14:48:36.090669,2026-04-10T03:02:04.999888,2173.5,0.540,7.5,clear,12.2,1
753,2026-04-08T14:48:36.090669,2026-04-10T03:02:04.999888,2173.5,0.540,8.8,clear,12.5,1
753,2026-04-08T14:48:36.090669,2026-04-10T03:02:04.999888,2173.5,0.540,16.0,mostlyClear,7.7,0
767,2026-04-10T04:52:16.999718,2026-04-10T05:10:15.999624,18.0,14.965,14.3,clear,8.2,0
769,2026-04-10T05:14:34.999546,2026-04-10T05:16:50.999152,2.3,0.860,,,,
771,2026-04-10T05:45:28.613660,2026-04-10T05:50:11.999818,4.7,2.005,,,,
773,2026-04-10T06:02:41.001272,2026-04-10T06:10:44.836346,8.1,2.617,13.5,mostlyClear,6.7,0
775,2026-04-10T06:27:15.005116,2026-04-10T06:58:05.999321,30.8,18.753,12.9,mostlyClear,7.2,0
777,2026-04-10T07:27:24.388131,2026-04-10T15:47:26.999479,500.0,36.806,12.6,mostlyClear,6.7,0
777,2026-04-10T07:27:24.388131,2026-04-10T15:47:26.999479,500.0,36.806,12.2,mostlyClear,7.8,0
777,2026-04-10T07:27:24.388131,2026-04-10T15:47:26.999479,500.0,36.806,12.4,mostlyClear,7.5,0
777,2026-04-10T07:27:24.388131,2026-04-10T15:47:26.999479,500.0,36.806,20.9,cloudy,20.4,1
780,2026-04-10T16:29:09.461249,2026-04-10T16:45:20.000841,16.2,3.854,22.7,mostlyCloudy,23.1,1
783,2026-04-10T16:51:55.062485,2026-04-10T18:33:14.921184,101.3,1.578,,,,
784,2026-04-10T18:33:14.144763,2026-04-10T18:38:13.998728,5.0,1.541,23.9,windy,25.0,1
797,2026-04-11T17:11:58.000177,2026-04-11T18:04:05.999752,52.1,2.422,14.1,clear,10.6,1
799,2026-04-11T20:48:07.999647,2026-04-11T22:10:43.000033,82.6,1.204,15.4,clear,8.6,1
799,2026-04-11T20:48:07.999647,2026-04-11T22:10:43.000033,82.6,1.204,15.4,clear,8.6,1
803,2026-04-11T23:49:15.999792,2026-04-12T13:40:25.000922,831.2,2.900,12.2,cloudy,9.0,1
807,2026-04-12T14:53:29.998959,2026-04-12T15:10:16.000813,16.8,0.887,,,,
825,2026-04-16T01:03:21.924223,2026-04-17T05:20:25.000024,1697.1,9.934,17.6,mostlyClear,7.3,0
825,2026-04-16T01:03:21.924223,2026-04-17T05:20:25.000024,1697.1,9.934,17.2,mostlyClear,5.6,0
831,2026-04-17T14:50:25.592143,2026-04-17T16:12:52.999381,82.5,1.360,18.1,cloudy,10.3,1
831,2026-04-17T14:50:25.592143,2026-04-17T16:12:52.999381,82.5,1.360,19.5,cloudy,8.6,1
