journey_pk,start_iso,end_iso,duration_min,distance_km,temp_c,condition,wind_kph,is_daylight
93,2026-03-16T14:32:07.548048,2026-03-16T14:42:02.000093,9.9,1.928,15.8,rain,18.8,1
97,2026-03-16T16:23:02.040484,2026-03-16T16:30:49.999436,7.8,2.218,13.1,drizzle,20.2,1
97,2026-03-16T16:23:02.040484,2026-03-16T16:30:49.999436,7.8,2.218,13.1,drizzle,20.2,1
99,2026-03-16T16:31:07.124969,2026-03-16T17:07:15.999332,36.1,0.424,,,,
103,2026-03-16T17:09:29.998868,2026-03-16T17:12:32.999808,3.1,0.801,,,,
105,2026-03-16T17:45:44.438811,2026-03-16T17:57:55.999964,12.2,3.020,8.6,windy,24.4,1
107,2026-03-16T20:03:30.544074,2026-03-16T20:45:28.462431,42.0,7.454,4.4,cloudy,19.9,1
107,2026-03-16T20:03:30.544074,2026-03-16T20:45:28.462431,42.0,7.454,3.6,rain,18.3,1
108,2026-03-16T20:45:28.462431,2026-03-17T17:48:47.417927,1263.3,3.177,,,,
112,2026-03-17T18:00:21.999493,2026-03-17T18:08:44.998624,8.4,1.992,,,,
118,2026-03-17T18:18:33.000452,2026-03-17T18:56:01.000394,37.5,12.759,-2.9,cloudy,21.1,1
118,2026-03-17T18:18:33.000452,2026-03-17T18:56:01.000394,37.5,12.759,-2.5,cloudy,21.0,1
120,2026-03-17T21:52:05.948866,2026-03-17T22:50:39.999915,58.6,15.464,-3.5,cloudy,19.0,1
120,2026-03-17T21:52:05.948866,2026-03-17T22:50:39.999915,58.6,15.464,-3.6,cloudy,17.4,1
122,2026-03-18T00:27:39.688141,2026-03-18T01:17:30.999732,49.9,13.258,-5.0,mostlyCloudy,15.6,0
122,2026-03-18T00:27:39.688141,2026-03-18T01:17:30.999732,49.9,13.258,-5.7,mostlyCloudy,14.5,0
126,2026-03-18T01:43:02.999491,2026-03-18T01:54:52.000068,11.8,5.221,,,,
127,2026-03-18T02:09:42.639965,2026-03-18T02:18:13.000471,8.5,3.141,-6.7,mostlyCloudy,11.9,0
129,2026-03-18T12:10:55.999488,2026-03-18T12:58:48.000075,47.9,21.428,-7.4,mostlyCloudy,6.0,1
131,2026-03-18T13:50:23.180157,2026-03-18T13:57:37.999836,7.2,0.460,-5.6,clear,8.6,1
135,2026-03-18T14:01:06.911909,2026-03-18T14:57:43.999194,56.6,29.312,-4.9,mostlyClear,8.9,1
135,2026-03-18T14:01:06.911909,2026-03-18T14:57:43.999194,56.6,29.312,-4.2,mostlyClear,9.8,1
137,2026-03-18T16:25:26.734098,2026-03-18T16:50:54.000228,25.5,8.677,-2.0,partlyCloudy,10.8,1
138,2026-03-18T17:46:01.945258,2026-03-18T17:59:18.000603,13.3,3.001,0.6,cloudy,12.5,1
139,2026-03-18T18:28:44.137260,2026-03-18T19:48:00.999621,79.3,32.195,1.5,cloudy,12.9,1
139,2026-03-18T18:28:44.137260,2026-03-18T19:48:00.999621,79.3,32.195,1.5,cloudy,12.9,1
139,2026-03-18T18:28:44.137260,2026-03-18T19:48:00.999621,79.3,32.195,1.4,cloudy,12.6,1
139,2026-03-18T18:28:44.137260,2026-03-18T19:48:00.999621,79.3,32.195,1.8,cloudy,12.4,1
142,2026-03-19T00:24:44.054706,2026-03-19T00:33:48.072438,9.1,2.766,1.3,cloudy,6.0,0
144,2026-03-19T00:35:17.836192,2026-03-19T01:12:42.999169,37.4,10.498,1.0,cloudy,5.7,0
146,2026-03-19T02:13:07.943174,2026-03-19T02:27:32.000037,14.4,5.155,,,,
150,2026-03-19T02:32:09.000495,2026-03-19T02:34:01.000126,1.9,0.268,,,,
152,2026-03-19T05:31:32.864095,2026-03-19T05:35:08.999787,3.6,0.569,0.4,cloudy,6.0,0
154,2026-03-19T05:35:09.999779,2026-03-19T16:13:57.134591,638.8,2.746,,,,
155,2026-03-19T16:45:29.820963,2026-03-19T17:46:08.000609,60.6,27.503,9.7,cloudy,12.2,1
155,2026-03-19T16:45:29.820963,2026-03-19T17:46:08.000609,60.6,27.503,10.9,mostlyClear,13.3,1
155,2026-03-19T16:45:29.820963,2026-03-19T17:46:08.000609,60.6,27.503,11.1,partlyCloudy,13.7,1
157,2026-03-19T17:52:42.717295,2026-03-19T18:18:32.999876,25.8,12.178,11.7,mostlyClear,14.7,1
159,2026-03-19T19:01:02.927286,2026-03-19T19:45:24.999846,44.4,15.389,13.9,cloudy,14.2,1
162,2026-03-19T19:56:38.000810,2026-03-19T20:29:52.000270,33.2,13.218,14.3,cloudy,14.8,1
168,2026-03-19T20:39:35.002052,2026-03-19T20:54:50.999432,15.3,3.068,14.1,mostlyCloudy,13.9,1
168,2026-03-19T20:39:35.002052,2026-03-19T20:54:50.999432,15.3,3.068,14.1,mostlyCloudy,13.9,1
170,2026-03-19T23:52:05.238403,2026-03-20T00:12:11.000417,20.1,6.221,11.1,mostlyCloudy,6.3,0
172,2026-03-20T00:21:24.020032,2026-03-20T04:01:01.000189,219.6,29.606,10.3,mostlyCloudy,5.4,0
172,2026-03-20T00:21:24.020032,2026-03-20T04:01:01.000189,219.6,29.606,8.2,mostlyClear,2.3,0
172,2026-03-20T00:21:24.020032,2026-03-20T04:01:01.000189,219.6,29.606,7.6,clear,6.0,0
172,2026-03-20T00:21:24.020032,2026-03-20T04:01:01.000189,219.6,29.606,7.3,clear,3.3,0
176,2026-03-20T04:14:10.999948,2026-03-20T17:25:24.566967,791.2,35.965,6.6,clear,3.8,0
176,2026-03-20T04:14:10.999948,2026-03-20T17:25:24.566967,791.2,35.965,6.6,mostlyClear,4.0,0
176,2026-03-20T04:14:10.999948,2026-03-20T17:25:24.566967,791.2,35.965,6.0,mostlyClear,4.8,0
176,2026-03-20T04:14:10.999948,2026-03-20T17:25:24.566967,791.2,35.965,5.7,mostlyClear,5.0,0
177,2026-03-20T17:25:23.976704,2026-03-20T17:29:29.999481,4.1,0.673,17.2,cloudy,24.1,1
178,2026-03-20T17:29:29.999481,2026-03-20T17:38:22.000874,8.9,0.745,,,,
183,2026-03-20T17:53:17.006845,2026-03-20T18:10:58.102012,17.7,2.806,17.7,windy,25.0,1
184,2026-03-20T18:10:59.102006,2026-03-20T18:19:51.998985,8.9,1.383,17.0,drizzle,21.1,1
187,2026-03-20T18:28:19.808045,2026-03-20T18:40:16.000078,11.9,3.795,,,,
193,2026-03-20T19:01:37.021745,2026-03-20T19:57:00.288234,55.4,5.735,15.5,drizzle,20.6,1
195,2026-03-20T19:59:16.607470,2026-03-20T20:17:36.000595,18.3,4.804,14.6,cloudy,17.7,1
196,2026-03-20T21:08:36.282226,2026-03-20T21:50:49.999821,42.2,12.401,15.1,cloudy,17.5,1
196,2026-03-20T21:08:36.282226,2026-03-20T21:50:49.999821,42.2,12.401,14.8,cloudy,15.1,1
200,2026-03-20T21:58:18.000411,2026-03-20T22:12:27.999757,14.2,2.332,14.2,cloudy,10.9,1
201,2026-03-20T22:12:29.999762,2026-03-20T23:18:12.999380,65.7,36.447,13.5,cloudy,12.1,1
201,2026-03-20T22:12:29.999762,2026-03-20T23:18:12.999380,65.7,36.447,13.2,cloudy,11.3,1
201,2026-03-20T22:12:29.999762,2026-03-20T23:18:12.999380,65.7,36.447,13.2,drizzle,5.2,1
205,2026-03-21T00:48:26.928169,2026-03-21T01:05:58.999672,17.5,7.391,12.2,mostlyCloudy,5.4,0
207,2026-03-21T02:34:10.490850,2026-03-21T02:36:55.998464,2.8,0.458,,,,
209,2026-03-21T02:39:52.600871,2026-03-21T03:08:54.999626,29.0,10.584,12.2,partlyCloudy,4.0,0
211,2026-03-21T17:05:34.996688,2026-03-21T17:57:42.428512,52.1,18.256,9.7,clear,6.2,1
211,2026-03-21T17:05:34.996688,2026-03-21T17:57:42.428512,52.1,18.256,10.4,clear,5.0,1
213,2026-03-21T18:02:11.293801,2026-03-21T18:32:08.000103,29.9,11.959,11.1,clear,4.1,1
215,2026-03-21T18:32:09.000095,2026-03-21T19:37:36.000615,65.5,23.597,12.1,mostlyClear,4.6,1
215,2026-03-21T18:32:09.000095,2026-03-21T19:37:36.000615,65.5,23.597,13.8,clear,3.6,1
217,2026-03-21T19:49:13.015216,2026-03-21T20:08:56.999819,19.7,4.818,14.1,mostlyClear,4.4,1
218,2026-03-21T20:08:59.999800,2026-03-21T20:23:31.999562,14.5,4.988,,,,
220,2026-03-21T20:24:43.000032,2026-03-21T20:44:17.999558,19.6,3.990,,,,
222,2026-03-21T21:08:41.000206,2026-03-21T21:15:56.016324,7.3,2.182,,,,
223,2026-03-21T23:37:38.759203,2026-03-21T23:47:13.400986,9.6,0.201,13.6,partlyCloudy,6.9,0
224,2026-03-21T23:47:13.420177,2026-03-21T23:53:00.999605,5.8,1.464,,,,
226,2026-03-21T23:54:52.050886,2026-03-21T23:59:55.000098,5.0,1.316,,,,
228,2026-03-22T01:12:16.771962,2026-03-22T01:56:30.000288,44.2,15.668,,,,
230,2026-03-22T02:40:50.860903,2026-03-22T03:46:56.999541,66.1,22.921,11.3,mostlyClear,8.5,0
230,2026-03-22T02:40:50.860903,2026-03-22T03:46:56.999541,66.1,22.921,11.3,mostlyClear,7.7,0
230,2026-03-22T02:40:50.860903,2026-03-22T03:46:56.999541,66.1,22.921,11.2,partlyCloudy,8.7,0
234,2026-03-22T03:54:10.999010,2026-03-22T04:00:11.999409,6.0,0.913,,,,
239,2026-03-22T04:13:55.001405,2026-03-22T04:33:58.999558,20.1,11.811,10.9,partlyCloudy,11.0,0
242,2026-03-22T06:05:02.829392,2026-03-22T06:32:31.000499,27.5,9.952,,,,
243,2026-03-22T06:32:32.000502,2026-03-22T06:54:06.000123,21.6,7.840,,,,
245,2026-03-22T06:54:07.000116,2026-03-22T07:16:42.999447,22.6,5.476,10.5,mostlyCloudy,9.6,0
248,2026-03-22T08:03:30.292135,2026-03-22T08:09:09.066834,5.6,0.541,10.8,mostlyCloudy,5.6,0
250,2026-03-22T08:13:27.028837,2026-03-22T08:34:01.076182,20.6,8.528,,,,
252,2026-03-22T17:32:29.985336,2026-03-22T17:36:34.000098,4.1,0.847,,,,
255,2026-03-22T17:36:35.000104,2026-03-22T17:45:12.999817,8.6,1.268,,,,
257,2026-03-22T17:48:54.031108,2026-03-22T18:44:10.999742,55.3,23.253,27.1,windy,25.7,1
259,2026-03-22T18:55:07.227328,2026-03-22T19:21:34.000409,26.4,9.961,27.6,windy,26.8,1
262,2026-03-22T19:27:18.999855,2026-03-22T19:52:39.307282,25.3,8.167,28.3,windy,27.4,1
264,2026-03-23T16:24:45.999578,2026-03-23T17:45:44.998634,81.0,17.024,4.2,cloudy,21.1,1
264,2026-03-23T16:24:45.999578,2026-03-23T17:45:44.998634,81.0,17.024,4.4,cloudy,20.6,1
264,2026-03-23T16:24:45.999578,2026-03-23T17:45:44.998634,81.0,17.024,4.9,cloudy,20.3,1
266,2026-03-23T17:47:56.108829,2026-03-23T17:56:03.000467,8.1,2.360,,,,
268,2026-03-23T20:00:36.122104,2026-03-23T22:24:41.837257,144.1,8.839,,,,
269,2026-03-23T22:24:45.116454,2026-03-23T22:28:07.999977,3.4,0.533,2.6,cloudy,20.5,1
271,2026-03-23T22:31:16.401263,2026-03-23T22:35:36.999916,4.3,0.440,,,,
273,2026-03-23T22:40:01.236129,2026-03-23T23:38:02.999154,58.0,22.175,2.2,cloudy,19.7,1
273,2026-03-23T22:40:01.236129,2026-03-23T23:38:02.999154,58.0,22.175,1.7,cloudy,17.4,1
